id;hospital;endereco
54;HOSP MUN M BOI MIRIM;ESTRADA DO MBOI MIRIM, 5203 - JARDIM ANGELA, SAO PAULO, SP
55;INSTITUTO DO CANCER DO ESTADO DE SAO PAULO;AV DR ARNALDO, 251 - CERQUEIRA CESAR, SAO PAULO, SP
56;HOSP MUN SOROCABANA;RUA FAUSTOLO, 1633 - VILA ROMANA, SAO PAULO, SP
57;HOSP MUN GILSON DE CASSIA MARQUES DE CARVALHO;AVENIDA SANTA CATARINA, 2785 - VILA MASCOTE, SAO PAULO, SP
58;HOSP MUN CAPELA DO SOCORRO;RUA CASSIO DE CAMPOS NOGUEIRA, 2031 - JARDIM DAS IMBUIAS, SAO PAULO, SP
59;HOSP MUN JOSANIAS CASTANHA BRAGA;RUA EUZEBIO COGHI, 841 - JARDIM ROSCHEL, SAO PAULO, SP
60;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;RUA ANTONIO CARLOS, 122 - CONSOLACAO, SAO PAULO, SP
61;HOSPITAL MUNICIPAL BRASILANDIA;MICHIHISA MURATA, 150 - JARDIM MARISTELA, SAO PAULO, SP
62;HOSPITAL MUNICIPAL GUARAPIRANGA;ESTRADA DA RIVIERA, 4742, ZONA SUL - RIVIERA PAULISTA, SAO PAULO, SP
63;INSTITUTO DE INFECTOLOGIA EMILIO RIBAS;DR ARNALDO, 165 - SUMARE, SAO PAULO, SP
64;HOSPITAL DO SERV PUB EST FCO MORATO DE OLIVEIRA SAO PAULO;AVENIDA IBIRAPUERA, 981 - IBIRAPUERA, SAO PAULO, SP
65;HOSPITAL MATERNIDADE INTERLAGOS;RUA LEONOR ALVIM, 211 - JD LEBLON, SAO PAULO, SP
66;HOSPITAL GERAL DE PEDREIRA;RUA JOAO FRANCISCO DE MOURA, 251 - VILA CAMPO GRANDE, SAO PAULO, SP
67;HOSPITAL HELIOPOLIS UNIDADE DE GESTAO ASSISTENCIAL I;CON XAVIER, 276 - V HELIOPOLIS, SAO PAULO, SP
68;CAISM DR DAVID CAPISTRANO DA COSTA FILHO DA AGUA FUNDA SP;AVENIDA MIGUEL STEFNO, 3030 - AGUA FUNDA, SAO PAULO, SP
69;HOSPITAL INFANTIL DARCY VARGAS UGA III SAO PAULO;RUA DR SERAFICO DE ASSIS CARVALHO, 34 - JARDIM GUEDALA, SAO PAULO, SP
70;HOSP MUN MATERNIDADE PROFESSOR MARIO DEGNI;RUA LUCAS DE LEYDE, 257 - VILA ANTONIO, SAO PAULO, SP
71;HOSPITAL UNIVERSITARIO DA USP SAO PAULO;AV PROF LINEU PRESTES, 2565 - BUTANTA, SAO PAULO, SP
72;CAISM PHILIPPE PINEL SAO PAULO;AV RAIMUNDO PEREIRA DE MAGALHAES, 5214 - PIRITUBA, SAO PAULO, SP
73;HOSPITAL GERAL HENRIQUE ALTIMEYER DE VILA ALPINA;AV FRANCISCO FALCONI, 1501 - VILA ALPINA, SAO PAULO, SP
74;HOSP MUN PIRITUBA JOSE SOARES HUNGRIA;AVENIDA MENOTTI LAUDISIO, 100 - PIRITUBA, SAO PAULO, SP
75;HOSPITAL GERAL DE SAO MATEUS SAO PAULO;RUA ANGELO DE CANDIA, 540 - SAO MATEUS, SAO PAULO, SP
76;UNIDADE DE GESTAO ASSISTENCIAL II HOSPITAL IPIRANGA SP;AVENIDA NAZARE, 28 - IPIRANGA, SAO PAULO, SP
77;CONJUNTO HOSPITALAR DO MANDAQUI SAO PAULO;RUA VOLUNTARIOS DA PATRIA, 4301 - SANTANA, SAO PAULO, SP
78;HOSPITAL GERAL SANTA MARCELINA DE ITAIM PAULISTA SAO PAULO;AV MARECHAL TITO, 6035 - ITAIM PAULISTA, SAO PAULO, SP
79;HOSP MUN PROF DR WALDOMIRO DE PAULA;RUA AUGUSTO CARLOS BAUMANN, 1074 - ITAQUERA, SAO PAULO, SP
80;HOSPITAL GERAL DO GRAJAU PROF LIBER JOHN ALPHONSE DI DIO SP;RUA FRANCISCO OTAVIO PACCA, 180 - PARQUE DAS NACOES, SAO PAULO, SP
81;HOSPITAL E MATERNIDADE LEONOR MENDES DE BARROS SAO PAULO;AV CELSO GARCIA, 2477 - BELENZINHO, SAO PAULO, SP
82;CENTRO DE REFERENCIA E TREINAMENTO DST AIDS SAO PAULO;RUA SANTA CRUZ, 81 - VILA MARIANA, SAO PAULO, SP
83;HOSPITAL MILITAR DE AREA DE SAO PAULO;RUA OUVIDOR PORTUGAL, 230 - CAMBUCI, SAO PAULO, SP
84;CENTRO DE REFERENCIA DA SAUDE DA MULHER;AV RIO BRANCO, 1080 - CAMPOS ELISEOS, SAO PAULO, SP
85;HOSP MUN INFANTIL MENINO JESUS;RUA DOS INGLESES, 258 - BELA VISTA, SAO PAULO, SP
86;HOSP DA AERONAUTICA DE SPHASP;OLAVO FONTOURA, 1400, SANTANA - SANTANA, SAO PAULO, SP
87;HOSP MUN MAT ESC DR MARIO DE MORAES A SILVA;DEPUTADO EMILIO CARLOS, 3100 - VILA NOVA CACHOEIRIN, SAO PAULO, SP
88;HOSPITAL GERAL JESUS TEIXEIRA DA COSTA GUAIANASES SAO PAULO;AV MIGUEL ACHIOLE DA FONSECA, 135 - JARDIM SAO PAULO, SAO PAULO, SP
89;HOSP MUN DR CARMINO CARICCHIO;AV CELSO GARCIA, 4815 - TATUAPE, SAO PAULO, SP
90;HOSP MUN TIDE SETUBAL;RUA DR JOSE GUILHERME EIRAS, 123 - SAO MIGUEL PAULISTA, SAO PAULO, SP
91;HOSP MUN V NHOCUNE ALEXANDRE ZAIO;RUA ALVES MALDONADO, 128 - VILA NHOCUNE, SAO PAULO, SP
92;HOSP MUN JABAQUARA ARTUR RIBEIRO DE SABOYA;AVENIDA FRANCISCO DE PAULA QUINTANILHA RIBEIRO, 860 - JABAQUARA, SAO PAULO, SP
93;HOSPITAL KATIA DE SOUZA RODRIGUES TAIPASSP SAO PAULO;AV ELISIO TEIXEIRA LEITE, 6999 - PARADA DE TAIPAS, SAO PAULO, SP
94;HOSP MUN PROFESSOR DOUTOR ALIPIO CORREA NETTO;ALAMEDA RODRIGO DE BRUM, 1989 - VILA PARANAGUA, SAO PAULO, SP
95;HOSPITAL MUNICIPAL DR BENEDITO MONTENEGRO;RUA ANTONIO LAZARO, 226 - JARDIM IVA, SAO PAULO, SP
96;HOSP MUN IGNACIO PROENCA DE GOUVEA;RUA JUVENTUS, 562 - PARQUE DA MOOCA, SAO PAULO, SP
97;HOSPITAL INFANTIL CANDIDO FONTOURA SAO PAULO;RUA SIQUEIRA BUENO, 1757 - AGUA RASA, SAO PAULO, SP
98;HOSPITAL DE TRANSP DO EST DE SP EURYCLIDES DE JESUS ZERBINI;AV BRIGADEIRO LUIZ ANTONIO, 2651 - JARDIM PAULISTA, SAO PAULO, SP
