categoria;marca;modelo;versao;motor;propulsao;transmissao;ar_condicionado;combustivel;consumo_cidade;consumo_estrada;consumo_cidade_2;consumo_estrada_2;consumo_eletrico_cidade;consumo_eletrico_estrada;consumo_vehp_flex_cidade;consumo_vehp_flex_estrada;consumo_energetico_mj_km;autonomia_eletrica_km;classificacao_pbe;classificacao_geral;selo_conpet
Médio;KIA;NIRO;HEV 1.6 EX;1.6 - 16V;Híbrido;DCT-6;S;G;;;18,3;15,9;;;;;1,21;;A;B;SIM
Médio;KIA;NIRO;HEV 1.6 LX;1.6 - 16V;Híbrido;DCT-6;S;G;;;18,3;15,9;;;;;1,21;;A;B;SIM
Médio;KIA;NIRO;HEV 1.6 SX;1.6 - 16V;Híbrido;DCT-6;S;G;;;18,3;15,9;;;;;1,21;;A;B;SIM
Médio;KIA;NIRO;HEV 1.6 SX RIOPEN;1.6 - 16V;Híbrido;DCT-6;S;G;;;18,3;15,9;;;;;1,21;;A;B;SIM
Médio;MG;MG4;64 KWH COM;Elétrico;Elétrico;A-1;S;E;;;;;43,3;37,4;;;0,5;364;A;A;-
Médio;MG;MG4;64 KWH LUX;Elétrico;Elétrico;A-1;S;E;;;;;43,3;37,4;;;0,5;364;A;A;-
Médio;MG;MG4;64 KWH AWD;Elétrico;Elétrico;A-1;S;E;;;;;36,3;32,7;;;0,59;279;A;A;-
Médio;MINI;Cooper;S 5P EXCLUSIVE;2.0 - 16V;Combustão;A-7;S;G;;;11,5;14,5;;;;;1,71;;D;C;-
Médio;MINI;Cooper;S 5P TOP;2.0 - 16V;Combustão;A-7;S;G;;;11,5;14,5;;;;;1,71;;D;C;-
Médio;MINI;Aceman;E;Elétrico;Elétrico;A;S;E;;;;;47,6;40,2;;;0,46;253;A;A;-
Médio;MINI;Aceman;SE;Elétrico;Elétrico;A;S;E;;;;;40,8;36,7;;;0,52;270;A;A;-
Médio;MINI;JCW-E;ACEMAN;Elétrico;Elétrico;A;S;E;;;;;41,2;39,8;;;0,5;312;A;A;-
Médio;Nissan;Versa;SENSE CVT;1.6-16V;Combustão;CVT;S;F;7,9;10,5;11,5;15;;;;;1,69;;D;C;-
Médio;Nissan;Versa;ADVNC CVT;1.6-16V;Combustão;CVT;S;F;7,9;10,5;11,5;15;;;;;1,69;;D;C;-
Médio;Nissan;Versa;EXCL CVT;1.6-16V;Combustão;CVT;S;F;7,9;10,5;11,5;15;;;;;1,69;;D;C;-
Médio;Nissan;Versa;SR CVT;1.6-16V;Combustão;CVT;S;F;7,9;10,5;11,5;15;;;;;1,69;;D;C;-
Médio;PEUGEOT;E2008;GT;ELÉTRICO;Elétrico;A-1;S;E;;;;;38,2;35,3;;;0,55;261;A;A;-
Médio;Renault;MÉGANE;E-TECH;Elétrico;Elétrico;A;S;E;;;;;41,4;38,8;;;0,51;337;A;A;-
Médio;SUZUKI;e-Vitara;4STY 2WD;Elétrico;Elétrico;A-1;S;E;;;;;41,5;34,3;;;0,54;317;A;A;-
Médio;SUZUKI;e-Vitara;4STY 4WD;Elétrico;Elétrico;A-1;S;E;;;;;37,8;31,6;;;0,58;293;A;A;-
Médio;TOYOTA;GR YARIS;8AT;1.6-12V;Combustão;A-8;S;G;;;7,8;9,7;;;;;2,6;;E;D;-
Médio;TOYOTA;GR YARIS;6MT;1.6-12V;Combustão;M-6;S;G;;;8,6;10,1;;;;;2,39;;E;D;-
Médio;VOLVO;EX30;E40 CORE;Elétrico;Elétrico;A-1;S;E;;;;;40,1;33,9;;;0,55;250;A;A;-
Médio;VOLVO;EX30;E40 PLUS;Elétrico;Elétrico;A-1;S;E;;;;;40,1;33,9;;;0,55;250;A;A;-
Médio;VOLVO;EX30;E60 ULTRA;Elétrico;Elétrico;A-1;S;E;;;;;43,2;35,3;;;0,52;338;A;A;-
Médio;VOLVO;EX30;E60 PLUS;Elétrico;Elétrico;A-1;S;E;;;;;43,2;35,3;;;0,52;338;A;A;-
Médio;VOLVO;EX30;E60 CORE;Elétrico;Elétrico;A-1;S;E;;;;;43,2;35,3;;;0,52;338;A;A;-
Médio;VOLVO;EX30;TWIN ULTRA;Elétrico;Elétrico;A-1;S;E;;;;;33,4;32;;;0,62;316;A;A;-
Médio;VW;GOLF;GOLF GTI;2.0-16V;Combustão;DTC - 7;S;G;;;9,8;12,8;;;;;2;;E;C;-
Médio;VW;VIRTUS;COMFORTLINE 200TSI AUT;1.0-12V;Combustão;A - 6;S;F;8,3;10,2;12,1;14,7;;;;;1,64;;C;C;-
Médio;VW;VIRTUS;HIGHLINE 200TSI AUT;1.0-12V;Combustão;A - 6;S;F;8,3;10,2;12,1;14,7;;;;;1,64;;C;C;-
