origin_id;origin_hospital;origin_bairro;destination_id;destination_hospital;destination_bairro;distance_meters;distance_km;duration_seconds;duration_minutes;status;error_message
3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;20080;20.08;1902;31.72;ok;
3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;34500;34.5;2505;41.75;ok;
3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;0;0.0;0;0.0;ok;
3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;4;INSTITUTO DE INFECTOLOGIA EMILIO RIBAS;SUMARE;22190;22.19;1971;32.86;ok;
3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;5;HOSPITAL DO SERV PUB EST FCO MORATO DE OLIVEIRA SAO PAULO;IBIRAPUERA;16780;16.78;1660;27.68;ok;
3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;6;HOSPITAL MATERNIDADE INTERLAGOS;JD LEBLON;11860;11.86;1228;20.48;ok;
3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;7;HOSPITAL GERAL DE PEDREIRA;VILA CAMPO GRANDE;11900;11.9;1253;20.9;ok;
3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;8;HOSPITAL HELIOPOLIS UNIDADE DE GESTAO ASSISTENCIAL I;V HELIOPOLIS;24770;24.77;2401;40.02;ok;
3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;10;HOSPITAL INFANTIL DARCY VARGAS UGA III SAO PAULO;JARDIM GUEDALA;15590;15.59;1671;27.86;ok;
3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;11;HOSP MUN MATERNIDADE PROFESSOR MARIO DEGNI;VILA ANTONIO;19680;19.68;2020;33.67;ok;
3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;12;HOSPITAL UNIVERSITARIO DA USP SAO PAULO;BUTANTA;18600;18.6;2128;35.47;ok;
3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;13;CAISM PHILIPPE PINEL SAO PAULO;PIRITUBA;34690;34.69;2531;42.19;ok;
3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;14;HOSPITAL GERAL HENRIQUE ALTIMEYER DE VILA ALPINA;VILA ALPINA;28870;28.87;2863;47.73;ok;
