origin_id;origin_hospital;origin_bairro;origin_latitude;origin_longitude;destination_id;destination_hospital;destination_bairro;destination_latitude;destination_longitude;distance_meters;distance_km;duration_seconds;duration_minutes;status;error_message
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;26;HOSP MUN INFANTIL MENINO JESUS;BELA VISTA;-23.56022;-46.6469982;14310;14.31;1575;26.26;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;28;HOSP MUN MAT ESC DR MARIO DE MORAES A SILVA;VILA NOVA CACHOEIRIN;-23.4802096;-46.6709709;4820;4.82;640;10.68;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;29;HOSPITAL GERAL JESUS TEIXEIRA DA COSTA GUAIANASES SAO PAULO;JARDIM SAO PAULO;-23.5523813;-46.4053829;48900;48.9;3119;52.0;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;30;HOSP MUN DR CARMINO CARICCHIO;TATUAPE;-23.5329502;-46.5664411;18920;18.92;1478;24.64;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;31;HOSP MUN TIDE SETUBAL;SAO MIGUEL PAULISTA;-23.4973179;-46.439865;37130;37.13;2284;38.08;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;32;HOSP MUN V NHOCUNE ALEXANDRE ZAIO;VILA NHOCUNE;-23.5424212;-46.5015398;28110;28.11;2125;35.43;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;33;HOSP MUN JABAQUARA ARTUR RIBEIRO DE SABOYA;JABAQUARA;-23.6533422;-46.6456764;32259;32.26;2346;39.1;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;34;HOSPITAL KATIA DE SOUZA RODRIGUES TAIPASSP SAO PAULO;PARADA DE TAIPAS;-23.4436996;-46.7177512;6230;6.23;576;9.61;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;35;HOSP MUN PROFESSOR DOUTOR ALIPIO CORREA NETTO;VILA PARANAGUA;-23.499644;-46.4729162;29670;29.67;2332;38.87;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;36;HOSPITAL MUNICIPAL DR BENEDITO MONTENEGRO;JARDIM IVA;-23.5875541;-46.5145716;27300;27.3;2230;37.18;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;37;HOSP MUN IGNACIO PROENCA DE GOUVEA;PARQUE DA MOOCA;-23.5717374;-46.590166;22920;22.92;1754;29.24;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;38;HOSPITAL INFANTIL CANDIDO FONTOURA SAO PAULO;AGUA RASA;-23.551918;-46.5852143;20420;20.42;1518;25.31;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;40;HOSPITAL REGIONAL SUL SAO PAULO;SANTO AMARO;-23.6555597;-46.7058596;31550;31.55;2106;35.11;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;42;HOSPITAL ESTADUAL DE SAPOPEMBA SAO PAULO;JARDIM SAPOPEMBA;-23.611336;-46.493671;33240;33.24;2573;42.89;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;43;HOSPITAL GERAL DE VILA PENTEADO DR JOSE PANGELLA SAO PAULO;JARDIM IRACEMA;-23.4934229;-46.7008274;2460;2.46;261;4.36;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;46;HOSP DO SERV PUB MUNICIPAL HSPM;LIBERDADE;-23.5673424;-46.639071;17700;17.7;1686;28.1;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;47;HOSP MUN FERNANDO MAURO PIRES DA ROCHA;CAMPO LIMPO;-23.6490957;-46.7490028;30670;30.67;1971;32.85;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;48;CENTRO HOSPITALAR DO SISTEMA PENITENCIARIO SAO PAULO;CARANDIRU;-23.5085713;-46.6201015;13900;13.9;1274;21.23;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;49;HOSP MUN VER JOSE STOROPOLLI;PARQUE NOVO MUNDO;-23.522085;-46.5617446;21390;21.39;1541;25.69;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;50;CENTRO MEDICO PMESP;TREMEMBE;-23.4690239;-46.6188727;13650;13.65;1373;22.88;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;51;HOSP MUN CARMEN PRUDENTE;CIDADE TIRADENTES;-23.5833632;-46.4092773;40120;40.12;3174;52.91;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;53;INSTITUTO DE REABILITACAO LUCY MONTORO;VILA ANDRADE;-23.6322694;-46.7351129;28490;28.49;1836;30.6;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;55;INSTITUTO DO CANCER DO ESTADO DE SAO PAULO;CERQUEIRA CESAR;-23.5561305;-46.6681716;12670;12.67;1333;22.22;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;56;HOSP MUN SOROCABANA;VILA ROMANA;-23.5238763;-46.7013591;6900;6.9;685;11.42;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;57;HOSP MUN GILSON DE CASSIA MARQUES DE CARVALHO;VILA MASCOTE;-23.6470652;-46.662824;29470;29.47;2081;34.69;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;58;HOSP MUN CAPELA DO SOCORRO;JARDIM DAS IMBUIAS;-23.7296842;-46.7129995;40430;40.43;2979;49.66;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;59;HOSP MUN JOSANIAS CASTANHA BRAGA;JARDIM ROSCHEL;-23.8247733;-46.7266429;53500;53.5;3849;64.16;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;233;HOSP MUN SOROCABANA;ALTO DE PINHEIROS;-23.5375934;-46.7227993;9540;9.54;1040;17.35;ok;
3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;-23.6911689;-46.7517858;1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;20080;20.08;1902;31.72;ok;
3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;-23.6911689;-46.7517858;2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;34500;34.5;2505;41.75;ok;
3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;-23.6911689;-46.7517858;3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;-23.6911689;-46.7517858;0;0.0;0;0.0;ok;
3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;-23.6911689;-46.7517858;4;INSTITUTO DE INFECTOLOGIA EMILIO RIBAS;SUMARE;-23.5470783;-46.6812257;22190;22.19;1971;32.86;ok;
